,number,address,Lat,Lon,METRIC,jan,feb,mar,apr,maj,jun,jul,aug,sep,okt,nov,dec
54,10161-001:,"Åsgatan 1, Borlänge, Dalarna, Sverige",60.5037984,15.4449066,kWh,491,431,473,426,340,339,296,357,513,618,540,505
55,10163-001:,"Hemgatan 51 A-F, Borlänge, Dalarna, Sverige",60.5068183,15.4685454,kWh,427,335,330,260,167,143,134,177,210,291,362,412
56,10163-002:,"Hemgatan 53, Borlänge, Dalarna, Sverige",60.5069466,15.4690792,kWh,352,310,326,310,214,195,185,224,262,314,311,321
57,10163-003:,"Hemgatan 55, Borlänge, Dalarna, Sverige",60.5069062,15.4698802,kWh,277,252,246,137,46,30,51,50,93,160,214,279
58,10163-004:,"Hemgatan 59 A-D, Borlänge, Dalarna, Sverige",60.5070218,15.4704104,kWh,1937,1829,2149,1995,1281,944,606,701,977,1291,1443,1692
59,10163-005:,"Hemgatan 61 A-D, Borlänge, Dalarna, Sverige",60.5070624,15.4710559,kWh,67,50,32,26,19,17,16,29,33,41,77,89
60,10164-004:,"Hagbacksgatan 30, Borlänge, Dalarna, Sverige",60.5014759,15.4644537,kWh,19568,17515,18990,17746,17832,17309,17315,17301,17739,18923,18593,19722
62,10165-001:,"Honefsgatan 3, Borlänge, Dalarna, Sverige",60.5002469,15.4524415,kWh,1645,1418,1513,1525,1396,1238,1193,1272,1352,1481,1567,1651
63,10165-002:,"Honefsgatan 5, Borlänge, Dalarna, Sverige",60.5005538,15.4532029,kWh,3806,3497,3819,3617,3453,3362,3229,3004,3114,3615,4200,4334
64,10167-001:,"Jönisgatan 11-15, Borlänge, Dalarna, Sverige",60.5010092,15.4557464,kWh,1022,933,955,885,958,889,945,975,987,1061,1022,1064
65,10167-002:,"Jönisgatan 7-9, Borlänge, Dalarna, Sverige",60.5007712,15.4559962,kWh,2466,2297,2432,2387,2289,2173,2078,1614,1896,1949,1964,2077
66,10167-003:,"Tolvmilavägen 10-18, Borlänge, Dalarna, Sverige",60.4999729,15.4561094,kWh,2797,2391,2485,2305,2053,1933,2044,2190,2466,2589,2609,2634
67,10168-002:,"Tolvmilavägen 6 A-C, Borlänge, Dalarna, Sverige",60.4997036,15.456066,kWh,6896,5861,6046,5347,5081,5045,5695,5485,4604,5499,5896,6965
68,10169-001:,"Logevägen 2-4, Borlänge, Dalarna, Sverige",60.5008682,15.4567307,kWh,668,706,614,198,59,44,50,72,188,256,389,567
69,10181-028:,"Domnarvsv 5A-E, Marknadsg 2F-J, Borlänge, Dalarna, Sverige",60.493429,15.437123,kWh,76,64,71,68,66,62,65,71,70,74,73,73
70,10181-026:,"Domnarvsv 9A-D,Marknadsg 6E-J, Borlänge, Dalarna, Sverige",60.494184,15.436635,kWh,52,41,23,15,12,9,9,16,19,31,30,44
71,10181-030:,"Domnarvsvägen 10 A-J, Borlänge, Dalarna, Sverige",60.493681,15.4379592,kWh,3629,3275,3745,3549,2833,2486,2286,2655,3104,3695,3677,3702
72,10181-031:,"Domnarvsvägen 12 A-J, Borlänge, Dalarna, Sverige",60.4941893,15.4385478,kWh,28,22,21,17,16,7,11,18,19,22,24,26
73,10181-032:,"Domnarvsvägen 14 A-J, Borlänge, Dalarna, Sverige",60.4944833,15.4376157,kWh,709,690,788,366,142,125,27,111,315,254,362,614
74,10181-029:,"Domnarvsvägen 8 A-J, Borlänge, Dalarna, Sverige",60.4933616,15.4387279,kWh,100,95,134,121,117,109,112,122,128,146,147,157
75,10181-040:,"Hushagsgatan 10 A-G, Borlänge, Dalarna, Sverige",60.4946802,15.4401216,kWh,103,74,77,50,46,42,43,50,49,55,73,70
76,10181-034:,"Hushagsgatan 11 A-J, Borlänge, Dalarna, Sverige",60.4943331,15.4397646,kWh,16,12,14,10,9,1,7,9,14,15,15,19
77,10181-033:,"Hushagsgatan 13 A-J, Borlänge, Dalarna, Sverige",60.4946096,15.4395837,kWh,253,244,215,98,69,52,58,68,87,113,151,239
78,10181-038:,"Hushagsgatan 6 A-J, Borlänge, Dalarna, Sverige",60.4936714,15.4407403,kWh,93,78,75,57,49,44,47,56,76,91,103,105
79,10181-036:,"Hushagsgatan 7 A-J, Borlänge, Dalarna, Sverige",60.4935649,15.4402776,kWh,78,66,59,52,43,37,45,57,68,79,76,77
80,10181-039:,"Hushagsgatan 8 A-H, Borlänge, Dalarna, Sverige",60.4942115,15.4404003,kWh,43,33,32,26,25,29,36,42,41,49,57,48
81,10181-035:,"Hushagsgatan 9 A-J, Borlänge, Dalarna, Sverige",60.4938479,15.4400677,kWh,125,112,117,109,111,107,111,111,111,121,124,128
82,10181-027:,"Marknadsg 4A-E, Domnarvsv 7F-J, Borlänge, Dalarna, Sverige",60.4939067,15.4372602,kWh,52,49,62,19,17,17,16,17,17,19,23,42
83,10181-024:,"Marknadsgatan 3 A-J, Borlänge, Dalarna, Sverige",60.49378,15.436034,kWh,485,463,353,89,61,42,38,49,60,122,229,364
84,10181-025:,"Marknadsgatan 5 A-E, Borlänge, Dalarna, Sverige",60.494063,15.4358461,kWh,252,307,245,205,487,459,665,730,571,417,318,271
85,10181-041:,"Torggatan 1 A-C, Borlänge, Dalarna, Sverige",60.4943859,15.4413559,kWh,1712,1654,1840,1541,1691,1426,1389,1496,1372,1722,1537,1549
86,10181-042:,"Torggatan 3 A-B, Borlänge, Dalarna, Sverige",60.4938796,15.4416776,kWh,70,68,42,30,10,6,6,7,11,30,42,48
87,10181-020:,"Torggatan 4 A-C, Borlänge, Dalarna, Sverige",60.4931374,15.4403033,kWh,468,325,269,322,350,287,345,453,437,483,554,468
88,10181-019:,"Torggatan 5 A-C, Borlänge, Dalarna, Sverige",60.4928522,15.4408044,kWh,815,768,654,579,1186,1152,1815,1457,1043,851,755,685
89,10181-021:,"Torggatan 6 A-C, Borlänge, Dalarna, Sverige",60.4930402,15.4396844,kWh,21,19,22,31,44,48,65,71,48,36,29,25
90,181,"Domnarvsvägen 7 A-J, Borlänge, Dalarna, Sverige",60.4939706,15.4375359,kWh,197,164,165,156,153,146,275,221,183,176,194,207
93,181,"Garage Domnarvsv 10, Borlänge, Dalarna, Sverige",60.493681,15.4379592,kWh,390,336,300,128,118,104,107,116,125,169,310,1132
98,191,"Kapstigen 30 Tvättst, Borlänge, Dalarna, Sverige",60.5061422,15.5411937,kWh,9316,8662,8650,6344,3808,2607,2678,3191,4727,7570,8578,9508
99,10195-002:,"Ringvägen 17 A, Borlänge, Dalarna, Sverige",60.3750369,15.2307875,kWh,1104,1097,1000,940,624,351,392,427,493,794,969,991
100,10195-001:,"Ringvägen 17 B, Borlänge, Dalarna, Sverige",60.3749148,15.2314205,kWh,73,65,68,62,58,51,58,65,149,102,79,81
